Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2011,"Nationwide (States, DC, and Territories)",15.4,5.7,25,52.9,
2011,Nationwide (States and DC),15.4,5.7,25.1,52.9,
2011,Arizona,13.1,6.2,24.9,55.9,"Arizona
(34.86596999961597, -111.76380999973156)"
2011,California,8.6,5,23.9,62.5,"California
(37.638300000444815, -120.99958999997835)"
2011,Missouri,19.4,5.6,25,50,"Missouri
(38.63578999960896, -92.5663000000448)"
2011,Wisconsin,14.9,6,26.2,52.9,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2011,Kansas,16.9,5.1,22.4,55.6,"Kansas
(38.34774000000118, -98.20077999969709)"
2011,Kentucky,23.6,5.4,24.3,46.8,"Kentucky
(37.645969999815804, -84.77496999996538)"
2011,Florida,13.5,5.8,28,52.8,"Florida
(28.932039999846268, -81.9289599999039)"
2011,Tennessee,18.3,4.7,23.8,53.2,"Tennessee
(35.68094000038087, -85.77449000011325)"
2011,Nevada,18,4.9,24.6,52.5,"Nevada
(39.49323999972637, -117.07183999971608)"
2011,Delaware,16.3,5.5,28.3,50,"Delaware
(39.00883000020451, -75.57774000040052)"
2011,Virginia,15,5.9,23.6,55.5,"Virginia
(37.54268000028196, -78.45789000012326)"
2011,Illinois,14.3,6.6,24.4,54.7,"Illinois
(40.485010000411364, -88.99770999971656)"
2011,Iowa,15.5,4.8,25,54.6,"Iowa
(42.469390000048634, -93.81649000001335)"
2011,North Carolina,15.6,6.2,24.8,53.4,"North Carolina
(35.46624999963797, -79.1593199999179)"
2011,Louisiana,19.3,6.4,22,52.3,"Louisiana
(31.31265999975932, -92.44567999993188)"
2011,Pennsylvania,16.9,5.6,25.4,52.2,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2011,Oklahoma,19.9,6.2,24.7,49.2,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2011,Puerto Rico,10.8,4,18.8,66.4,
2011,Minnesota,13.2,5.9,26.2,54.7,"Minnesota
(46.3556499998478, -94.79419999982997)"
2011,New Jersey,11.4,5.5,25.8,57.4,"New Jersey
(40.13056999960594, -74.2736899996936)"
2011,Guam,21.1,9.4,14.6,54.9,
2011,Montana,16.4,5.7,26.9,51,"Montana
(47.06653000015956, -109.42441999998289)"
2011,Idaho,12.4,4.8,24.4,58.5,"Idaho
(43.682590000228515, -114.36368000023168)"
2011,Massachusetts,13.3,4.9,28.3,53.5,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2011,Mississippi,18.8,7.1,21.3,52.8,"Mississippi
(32.7455100000866, -89.53803000008429)"
2011,New York,12.1,6,25.4,56.5,"New York
(42.82699999955048, -75.54396999981549)"
2011,Maine,17.6,5.2,31.6,45.6,"Maine
(45.25423000041434, -68.9850299999344)"
2011,Colorado,12.3,6,27.2,54.6,"Colorado
(38.842890000173554, -106.13314000041055)"
2011,Alabama,18.6,5.8,25.1,50.6,"Alabama
(32.840569999605975, -86.63186000013877)"
2011,Arkansas,20.1,6.8,25.1,48,"Arkansas
(34.748649999697875, -92.27448999971358)"
2011,South Carolina,16.6,6.6,24,52.8,"South Carolina
(33.99855000018255, -81.0452500001872)"
2011,Maryland,13.7,5.4,22.6,58.3,"Maryland
(39.29057999976732, -76.6092600004485)"
2011,Ohio,19.1,6,25.2,49.7,"Ohio
(40.06020999969189, -82.40426000019869)"
2011,Hawaii,12.2,4.7,25.9,57.3,"Hawaii
(21.304850000427336, -157.85774999956269)"
2011,Oregon,14.4,5.4,27.5,52.8,"Oregon
(44.567449999917756, -120.15502999983448)"
2011,Nebraska,14.5,5.4,24.3,55.7,"Nebraska
(41.6410400000961, -99.36572999973953)"
2011,Michigan,17.3,6,25.7,51,"Michigan
(44.661320000317914, -84.71438999959867)"
2011,Utah,8.5,3.3,16,72.2,"Utah
(39.36070000030492, -111.58712999994941)"
2011,Alaska,15.9,7,27.9,49.1,"Alaska
(64.84507999974238, -147.72205999986895)"
2011,North Dakota,15.9,5.9,25.3,52.9,"North Dakota
(47.475320000018144, -100.11841999998285)"
2011,South Dakota,15.5,7.6,25.5,51.5,"South Dakota
(44.353130000049646, -100.37353000040906)"
2011,Texas,12,7.2,21.8,59,"Texas
(31.82724000022597, -99.42676999973554)"
2011,Wyoming,17.5,5.5,26.2,50.8,"Wyoming
(43.23553999957147, -108.10982999975454)"
2011,Vermont,14.7,4.4,30.8,50.1,"Vermont
(43.625379999687425, -72.51764000028561)"
2011,New Hampshire,15.4,4.1,29.2,51.4,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2011,Rhode Island,14.4,5.7,27.7,52.2,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2011,Indiana,19.4,6.2,24.7,49.7,"Indiana
(39.76690999989677, -86.14996000035359)"
2011,District of Columbia,12.8,8,22,57.2,"District of Columbia
(38.89036999987576, -77.03195999965413)"
2011,Connecticut,11.8,5.3,27.8,55.1,"Connecticut
(41.56265999995918, -72.6498400002157)"
2011,West Virginia,23.8,4.9,23.5,47.9,"West, Virginia
(38.66550999958696, -80.71263999973604)"
2011,Washington,12.1,5.4,26,56.5,"Washington
(47.522280000022135, -120.47001000026114)"
2011,Georgia,14.3,6.9,22.1,56.7,"Georgia
(32.83967999993223, -83.62758000031658)"
2011,New Mexico,13.5,7.9,24.9,53.6,"New Mexico
(34.52088000011207, -106.24057999976702)"
